Name,GEOID,HDX_2020-2024
Rogers Park,1,52.9247037
Norwood Park,10,30.50422293
Jefferson Park,11,30.91804575
Forest Glen,12,15.92976996
North Park,13,63.75576034
Albany Park,14,57.55080244
Portage Park,15,46.91842828
Irving Park,16,41.09838533
Dunning,17,47.14230676
Montclare,18,71.00501998
Belmont Cragin,19,82.17155704
West Ridge,2,76.07165815
Hermosa,20,77.96793525
Avondale,21,41.34885072
Logan Square,22,18.48488742
Humboldt Park,23,82.76737663
West Town,24,7.82282569
Austin,25,85.46915079
West Garfield Park,26,91.05035177
East Garfield Park,27,92.15091871
Near West Side,28,28.69022178
North Lawndale,29,87.84718517
Uptown,3,35.40665771
South Lawndale,30,87.14971845
Lower West Side,31,66.07942865
Loop,32,6.880907992
Near South Side,33,4.347421492
Armour Square,34,87.71355007
Douglas,35,74.9231438
Oakland,36,78.94747122
Fuller Park,37,96.88846114
Grand Boulevard,38,77.79038692
Kenwood,39,52.50851774
Lincoln Square,4,23.19270213
Washington Park,40,89.91552961
Hyde Park,41,28.51625492
Woodlawn,42,78.20454864
South Shore,43,82.90628363
Chatham,44,77.61276311
Avalon Park,45,65.86539946
South Chicago,46,86.25358839
Burnside,47,92.69707314
Calumet Heights,48,66.50598949
Roseland,49,81.71987231
North Center,5,4.30304235
Pullman,50,74.58254839
South Deering,51,86.71758227
East Side,52,83.90627291
West Pullman,53,82.77724018
Riverdale,54,99.34823816
Hegewisch,55,68.39292713
Garfield Ridge,56,51.65655042
Archer Heights,57,87.43699613
Brighton Park,58,84.5295953
McKinley Park,59,68.18511447
Lake View,6,4.649422723
Bridgeport,60,58.87446211
New City,61,86.88171535
West Elsdon,62,77.06944013
Gage Park,63,89.96970597
Clearing,64,56.87433432
West Lawn,65,83.8204561
Chicago Lawn,66,87.55035999
West Englewood,67,91.89449169
Englewood,68,93.08914303
Greater Grand Crossing,69,87.60751709
Lincoln Park,7,2.476963814
Ashburn,70,72.40126365
Auburn Gresham,71,88.92902119
Beverly,72,32.22261182
Washington Heights,73,70.85325519
Mount Greenwood,74,26.43142148
Morgan Park,75,60.57053749
O'Hare,76,38.69296294
Edgewater,77,40.40650499
Near North Side,8,3.402424707
Edison Park,9,12.13244039
