community_area,month,primary_type,type_count
1,2015-01-01,ARSON,1
1,2015-01-01,ASSAULT,16
1,2015-01-01,BATTERY,61
1,2015-01-01,BURGLARY,11
1,2015-01-01,CRIMINAL DAMAGE,28
1,2015-01-01,CRIMINAL SEXUAL ASSAULT,2
1,2015-01-01,CRIMINAL TRESPASS,6
1,2015-01-01,DECEPTIVE PRACTICE,25
1,2015-01-01,GAMBLING,1
1,2015-01-01,INTERFERENCE WITH PUBLIC OFFICER,1
1,2015-01-01,LIQUOR LAW VIOLATION,1
1,2015-01-01,MOTOR VEHICLE THEFT,7
1,2015-01-01,NARCOTICS,19
1,2015-01-01,OFFENSE INVOLVING CHILDREN,5
1,2015-01-01,OTHER OFFENSE,20
1,2015-01-01,PROSTITUTION,6
1,2015-01-01,PUBLIC PEACE VIOLATION,1
1,2015-01-01,ROBBERY,11
1,2015-01-01,SEX OFFENSE,3
1,2015-01-01,THEFT,70
1,2015-01-01,WEAPONS VIOLATION,2
1,2015-02-01,ASSAULT,14
1,2015-02-01,BATTERY,49
1,2015-02-01,BURGLARY,13
1,2015-02-01,CRIMINAL DAMAGE,28
1,2015-02-01,CRIMINAL SEXUAL ASSAULT,2
1,2015-02-01,CRIMINAL TRESPASS,6
1,2015-02-01,DECEPTIVE PRACTICE,27
1,2015-02-01,HOMICIDE,1
1,2015-02-01,MOTOR VEHICLE THEFT,8
1,2015-02-01,NARCOTICS,20
1,2015-02-01,OFFENSE INVOLVING CHILDREN,2
1,2015-02-01,OTHER OFFENSE,15
1,2015-02-01,PROSTITUTION,1
1,2015-02-01,ROBBERY,5
1,2015-02-01,SEX OFFENSE,1
1,2015-02-01,THEFT,54
1,2015-03-01,ASSAULT,21
1,2015-03-01,BATTERY,66
1,2015-03-01,BURGLARY,8
1,2015-03-01,CRIMINAL DAMAGE,36
1,2015-03-01,CRIMINAL SEXUAL ASSAULT,1
1,2015-03-01,CRIMINAL TRESPASS,8
1,2015-03-01,DECEPTIVE PRACTICE,30
1,2015-03-01,LIQUOR LAW VIOLATION,1
1,2015-03-01,MOTOR VEHICLE THEFT,5
1,2015-03-01,NARCOTICS,13
1,2015-03-01,OFFENSE INVOLVING CHILDREN,2
1,2015-03-01,OTHER OFFENSE,16
1,2015-03-01,PUBLIC PEACE VIOLATION,6
1,2015-03-01,ROBBERY,5
1,2015-03-01,SEX OFFENSE,4
1,2015-03-01,STALKING,1
1,2015-03-01,THEFT,64
1,2015-03-01,WEAPONS VIOLATION,6
1,2015-04-01,ASSAULT,14
1,2015-04-01,BATTERY,44
1,2015-04-01,BURGLARY,12
1,2015-04-01,CRIMINAL DAMAGE,31
1,2015-04-01,CRIMINAL TRESPASS,10
1,2015-04-01,DECEPTIVE PRACTICE,20
1,2015-04-01,INTERFERENCE WITH PUBLIC OFFICER,1
1,2015-04-01,MOTOR VEHICLE THEFT,7
1,2015-04-01,NARCOTICS,8
1,2015-04-01,OFFENSE INVOLVING CHILDREN,1
1,2015-04-01,OTHER OFFENSE,19
1,2015-04-01,PROSTITUTION,1
1,2015-04-01,PUBLIC PEACE VIOLATION,5
1,2015-04-01,ROBBERY,9
1,2015-04-01,THEFT,55
1,2015-04-01,WEAPONS VIOLATION,1
1,2015-05-01,ASSAULT,26
1,2015-05-01,BATTERY,71
1,2015-05-01,BURGLARY,10
1,2015-05-01,CRIMINAL DAMAGE,44
1,2015-05-01,CRIMINAL SEXUAL ASSAULT,3
1,2015-05-01,CRIMINAL TRESPASS,12
1,2015-05-01,DECEPTIVE PRACTICE,18
1,2015-05-01,INTERFERENCE WITH PUBLIC OFFICER,3
1,2015-05-01,LIQUOR LAW VIOLATION,2
1,2015-05-01,MOTOR VEHICLE THEFT,13
1,2015-05-01,NARCOTICS,20
1,2015-05-01,OFFENSE INVOLVING CHILDREN,2
1,2015-05-01,OTHER OFFENSE,22
1,2015-05-01,PUBLIC PEACE VIOLATION,1
1,2015-05-01,ROBBERY,5
1,2015-05-01,SEX OFFENSE,2
1,2015-05-01,THEFT,77
1,2015-05-01,WEAPONS VIOLATION,1
1,2015-06-01,ASSAULT,23
1,2015-06-01,BATTERY,56
1,2015-06-01,BURGLARY,9
1,2015-06-01,CRIMINAL DAMAGE,33
1,2015-06-01,CRIMINAL SEXUAL ASSAULT,2
1,2015-06-01,CRIMINAL TRESPASS,15
1,2015-06-01,DECEPTIVE PRACTICE,17
1,2015-06-01,HOMICIDE,2
