community_area,month,count_total,count_arrest,arrest_rate
1,2025-01-01,325,325,1.0
1,2025-02-01,301,301,1.0
2,2025-01-01,289,289,1.0
2,2025-02-01,205,205,1.0
3,2025-01-01,298,298,1.0
3,2025-02-01,301,301,1.0
4,2025-01-01,158,158,1.0
4,2025-02-01,130,130,1.0
5,2025-01-01,89,89,1.0
5,2025-02-01,76,76,1.0
6,2025-01-01,444,444,1.0
6,2025-02-01,390,390,1.0
7,2025-01-01,301,301,1.0
7,2025-02-01,282,282,1.0
8,2025-01-01,779,779,1.0
8,2025-02-01,688,688,1.0
9,2025-01-01,25,25,1.0
9,2025-02-01,20,20,1.0
10,2025-01-01,88,88,1.0
10,2025-02-01,78,78,1.0
11,2025-01-01,60,60,1.0
11,2025-02-01,73,73,1.0
12,2025-01-01,38,38,1.0
12,2025-02-01,25,25,1.0
13,2025-01-01,82,82,1.0
13,2025-02-01,82,82,1.0
14,2025-01-01,191,191,1.0
14,2025-02-01,186,186,1.0
15,2025-01-01,211,211,1.0
15,2025-02-01,209,209,1.0
16,2025-01-01,188,188,1.0
16,2025-02-01,179,179,1.0
17,2025-01-01,118,118,1.0
17,2025-02-01,85,85,1.0
18,2025-01-01,27,27,1.0
18,2025-02-01,55,55,1.0
19,2025-01-01,365,365,1.0
19,2025-02-01,276,276,1.0
20,2025-01-01,98,98,1.0
20,2025-02-01,75,75,1.0
21,2025-01-01,182,182,1.0
21,2025-02-01,137,137,1.0
22,2025-01-01,341,341,1.0
22,2025-02-01,299,299,1.0
23,2025-01-01,543,543,1.0
23,2025-02-01,490,490,1.0
24,2025-01-01,507,507,1.0
24,2025-02-01,439,439,1.0
25,2025-01-01,1007,1007,1.0
25,2025-02-01,950,950,1.0
26,2025-01-01,269,269,1.0
26,2025-02-01,213,213,1.0
27,2025-01-01,305,305,1.0
27,2025-02-01,272,272,1.0
28,2025-01-01,713,713,1.0
28,2025-02-01,628,628,1.0
29,2025-01-01,497,497,1.0
29,2025-02-01,501,501,1.0
30,2025-01-01,254,254,1.0
30,2025-02-01,249,249,1.0
31,2025-01-01,200,200,1.0
31,2025-02-01,173,173,1.0
32,2025-01-01,607,607,1.0
32,2025-02-01,606,606,1.0
33,2025-01-01,198,198,1.0
33,2025-02-01,168,168,1.0
34,2025-01-01,75,75,1.0
34,2025-02-01,82,82,1.0
35,2025-01-01,217,217,1.0
35,2025-02-01,203,203,1.0
36,2025-01-01,45,45,1.0
36,2025-02-01,50,50,1.0
37,2025-01-01,52,52,1.0
37,2025-02-01,39,39,1.0
38,2025-01-01,297,297,1.0
38,2025-02-01,215,215,1.0
39,2025-01-01,146,146,1.0
39,2025-02-01,110,110,1.0
40,2025-01-01,175,175,1.0
40,2025-02-01,142,142,1.0
41,2025-01-01,224,224,1.0
41,2025-02-01,180,180,1.0
42,2025-01-01,284,284,1.0
42,2025-02-01,244,244,1.0
43,2025-01-01,637,637,1.0
43,2025-02-01,538,538,1.0
44,2025-01-01,396,396,1.0
44,2025-02-01,407,407,1.0
45,2025-01-01,80,80,1.0
45,2025-02-01,87,87,1.0
46,2025-01-01,266,266,1.0
46,2025-02-01,239,239,1.0
47,2025-01-01,21,21,1.0
47,2025-02-01,17,17,1.0
48,2025-01-01,95,95,1.0
48,2025-02-01,118,118,1.0
49,2025-01-01,475,475,1.0
49,2025-02-01,380,380,1.0
50,2025-01-01,90,90,1.0
50,2025-02-01,101,101,1.0
51,2025-01-01,141,141,1.0
51,2025-02-01,123,123,1.0
52,2025-01-01,104,104,1.0
52,2025-02-01,81,81,1.0
53,2025-01-01,264,264,1.0
53,2025-02-01,251,251,1.0
54,2025-01-01,86,86,1.0
54,2025-02-01,73,73,1.0
55,2025-01-01,69,69,1.0
55,2025-02-01,52,52,1.0
56,2025-01-01,163,163,1.0
56,2025-02-01,128,128,1.0
57,2025-01-01,89,89,1.0
57,2025-02-01,99,99,1.0
58,2025-01-01,144,144,1.0
58,2025-02-01,131,131,1.0
59,2025-01-01,95,95,1.0
59,2025-02-01,52,52,1.0
60,2025-01-01,127,127,1.0
60,2025-02-01,96,96,1.0
61,2025-01-01,270,270,1.0
61,2025-02-01,249,249,1.0
62,2025-01-01,75,75,1.0
62,2025-02-01,73,73,1.0
63,2025-01-01,176,176,1.0
63,2025-02-01,163,163,1.0
64,2025-01-01,106,106,1.0
64,2025-02-01,68,68,1.0
65,2025-01-01,143,143,1.0
65,2025-02-01,142,142,1.0
66,2025-01-01,407,407,1.0
66,2025-02-01,333,333,1.0
67,2025-01-01,332,332,1.0
67,2025-02-01,301,301,1.0
68,2025-01-01,395,395,1.0
68,2025-02-01,310,310,1.0
69,2025-01-01,403,403,1.0
69,2025-02-01,410,410,1.0
70,2025-01-01,152,152,1.0
70,2025-02-01,127,127,1.0
71,2025-01-01,501,501,1.0
71,2025-02-01,434,434,1.0
72,2025-01-01,74,74,1.0
72,2025-02-01,70,70,1.0
73,2025-01-01,201,201,1.0
73,2025-02-01,182,182,1.0
74,2025-01-01,38,38,1.0
74,2025-02-01,35,35,1.0
75,2025-01-01,151,151,1.0
75,2025-02-01,132,132,1.0
76,2025-01-01,115,115,1.0
76,2025-02-01,134,134,1.0
77,2025-01-01,276,276,1.0
77,2025-02-01,265,265,1.0
