community_area,month,primary_type,type_count
1,2025-01-01,ASSAULT,20
1,2025-01-01,BATTERY,62
1,2025-01-01,BURGLARY,14
1,2025-01-01,CONCEALED CARRY LICENSE VIOLATION,1
1,2025-01-01,CRIMINAL DAMAGE,28
1,2025-01-01,CRIMINAL SEXUAL ASSAULT,2
1,2025-01-01,CRIMINAL TRESPASS,13
1,2025-01-01,DECEPTIVE PRACTICE,22
1,2025-01-01,INTIMIDATION,3
1,2025-01-01,LIQUOR LAW VIOLATION,1
1,2025-01-01,MOTOR VEHICLE THEFT,24
1,2025-01-01,NARCOTICS,9
1,2025-01-01,OFFENSE INVOLVING CHILDREN,2
1,2025-01-01,OTHER OFFENSE,20
1,2025-01-01,ROBBERY,4
1,2025-01-01,STALKING,1
1,2025-01-01,THEFT,89
1,2025-01-01,WEAPONS VIOLATION,10
1,2025-02-01,ARSON,1
1,2025-02-01,ASSAULT,28
1,2025-02-01,BATTERY,59
1,2025-02-01,BURGLARY,13
1,2025-02-01,CRIMINAL DAMAGE,28
1,2025-02-01,CRIMINAL SEXUAL ASSAULT,2
1,2025-02-01,CRIMINAL TRESPASS,5
1,2025-02-01,DECEPTIVE PRACTICE,22
1,2025-02-01,HOMICIDE,2
1,2025-02-01,MOTOR VEHICLE THEFT,18
1,2025-02-01,NARCOTICS,6
1,2025-02-01,OFFENSE INVOLVING CHILDREN,2
1,2025-02-01,OTHER OFFENSE,17
1,2025-02-01,PUBLIC INDECENCY,1
1,2025-02-01,ROBBERY,14
1,2025-02-01,SEX OFFENSE,1
1,2025-02-01,THEFT,80
1,2025-02-01,WEAPONS VIOLATION,2
2,2025-01-01,ASSAULT,28
2,2025-01-01,BATTERY,49
2,2025-01-01,BURGLARY,14
2,2025-01-01,CRIMINAL DAMAGE,22
2,2025-01-01,CRIMINAL SEXUAL ASSAULT,4
2,2025-01-01,CRIMINAL TRESPASS,7
2,2025-01-01,DECEPTIVE PRACTICE,20
2,2025-01-01,HOMICIDE,1
2,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,2
2,2025-01-01,MOTOR VEHICLE THEFT,33
2,2025-01-01,NARCOTICS,1
2,2025-01-01,OFFENSE INVOLVING CHILDREN,2
2,2025-01-01,OTHER OFFENSE,21
2,2025-01-01,PUBLIC PEACE VIOLATION,1
2,2025-01-01,SEX OFFENSE,3
2,2025-01-01,STALKING,1
2,2025-01-01,THEFT,79
2,2025-01-01,WEAPONS VIOLATION,1
2,2025-02-01,ASSAULT,14
2,2025-02-01,BATTERY,40
2,2025-02-01,BURGLARY,4
2,2025-02-01,CRIMINAL DAMAGE,20
2,2025-02-01,CRIMINAL SEXUAL ASSAULT,1
2,2025-02-01,CRIMINAL TRESPASS,3
2,2025-02-01,DECEPTIVE PRACTICE,25
2,2025-02-01,LIQUOR LAW VIOLATION,1
2,2025-02-01,MOTOR VEHICLE THEFT,16
2,2025-02-01,NARCOTICS,1
2,2025-02-01,OFFENSE INVOLVING CHILDREN,2
2,2025-02-01,OTHER OFFENSE,19
2,2025-02-01,ROBBERY,3
