Layer,Name,GEOID,HDX_2015-2019,HDX_2020-2024
,,,"Hardship Index (score), 2015-2019","Hardship Index (score), 2020-2024"
Community area,Rogers Park,1,61.6305851835111,52.924703695294006
Community area,Norwood Park,10,22.139738357645218,30.50422292942487
Community area,Jefferson Park,11,38.30442404866452,30.91804574579658
Community area,Forest Glen,12,16.69664744635914,15.92976996167712
Community area,North Park,13,50.36472084137094,63.755760336475554
Community area,Albany Park,14,59.73690089520716,57.55080244474001
Community area,Portage Park,15,48.10723749276251,46.918428280638786
Community area,Irving Park,16,32.295482690965386,41.09838533241461
Community area,Dunning,17,36.361128550784784,47.142306756433015
Community area,Montclare,18,59.70596592982964,71.00501997849919
Community area,Belmont Cragin,19,79.47284267284267,82.17155704088482
Community area,West Ridge,2,71.53376826753652,76.07165815255526
Community area,Hermosa,20,77.54939624818874,77.96793524573552
Community area,Avondale,21,50.03811096677678,41.348850715341776
Community area,Logan Square,22,22.278132156264306,18.48488741807935
Community area,Humboldt Park,23,86.82384509538038,82.76737663005562
Community area,West Town,24,11.857672749745744,7.822825690390688
Community area,Austin,25,76.46892918250428,85.46915078802289
Community area,West Garfield Park,26,94.99249520000002,91.05035177099343
Community area,East Garfield Park,27,93.20878664937305,92.15091871348717
Community area,Near West Side,28,50.941104123312385,28.69022177702372
Community area,North Lawndale,29,88.74929629437037,87.84718517115365
Community area,Uptown,3,29.55120425602128,35.40665771312865
Community area,South Lawndale,30,94.12451334513345,87.14971845215106
Community area,Lower West Side,31,61.47373077373078,66.07942865107157
Community area,Loop,32,4.252745034086567,6.880907991843654
Community area,Near South Side,33,2.648196292785171,4.347421491892502
Community area,Armour Square,34,90.94099941800117,87.71355007278783
Community area,Douglas,35,61.73841386034651,74.92314380013363
Community area,Oakland,36,80.88065199043184,78.94747122365531
Community area,Fuller Park,37,95.30105473289635,96.8884611449431
Community area,Grand Boulevard,38,78.99573848040829,77.7903869241361
Community area,Kenwood,39,36.147568699999994,52.508517738230786
Community area,Lincoln Square,4,18.238548838548837,23.192702125306457
Community area,Washington Park,40,91.85211988603807,89.9155296144411
Community area,Hyde Park,41,30.34573245426755,28.516254918698692
Community area,Woodlawn,42,84.42099964699756,78.20454863918856
Community area,South Shore,43,78.76798840396522,82.90628362558722
Community area,Chatham,44,77.80152283045659,77.61276311075105
Community area,Avalon Park,45,77.64909704548523,65.86539945795128
Community area,South Chicago,46,84.17969262030739,86.25358838963794
Community area,Burnside,47,84.34803017242241,92.69707314499728
Community area,Calumet Heights,48,60.03190368660646,66.50598948630285
Community area,Roseland,49,84.03404448729013,81.71987231186894
Community area,North Center,5,5.133677466322534,4.303042350440022
Community area,Pullman,50,65.16112644505782,74.5825483924615
Community area,South Deering,51,94.26360474488543,86.71758227037435
Community area,East Side,52,84.75515182304663,83.90627290777324
Community area,West Pullman,53,82.58626121756731,82.77724018348054
Community area,Riverdale,54,98.57934041406372,99.34823816379951
Community area,Hegewisch,55,61.69351050104545,68.39292712804114
Community area,Garfield Ridge,56,59.956368744951085,51.65655041893365
Community area,Archer Heights,57,84.77383277383281,87.43699612968422
Community area,Brighton Park,58,89.24071358499508,84.52959529684746
Community area,McKinley Park,59,77.56539471986733,68.18511447406017
Community area,Lake View,6,3.76950203049797,4.649422723219442
Community area,Bridgeport,60,60.317861553584656,58.874462108684924
Community area,New City,61,84.03596372367352,86.88171534851527
Community area,West Elsdon,62,79.73503620000001,77.06944013418908
Community area,Gage Park,63,89.23122778105004,89.96970597028124
Community area,Clearing,64,58.462050033867584,56.874334322023174
Community area,West Lawn,65,79.67488229952919,83.82045609652131
Community area,Chicago Lawn,66,91.76432953567048,87.55035998920116
Community area,West Englewood,67,95.3436795425522,91.89449168882683
Community area,Englewood,68,94.97714467714468,93.08914302542058
Community area,Greater Grand Crossing,69,89.4209471094711,87.60751709176671
Community area,Lincoln Park,7,1.6111132333779001,2.4769638144132857
Community area,Ashburn,70,71.31324094426456,72.40126365087322
Community area,Auburn Gresham,71,83.6347296,88.92902119240028
Community area,Beverly,72,14.153219204726481,32.22261182162868
Community area,Washington Heights,73,77.02780508927127,70.85325518988292
Community area,Mount Greenwood,74,19.40817103890766,26.431421481824234
Community area,Morgan Park,75,53.120251381005524,60.570537494957776
Community area,O'Hare,76,58.91886949983826,38.69296294310124
Community area,Edgewater,77,26.803563596436398,40.406504991495645
Community area,Near North Side,8,3.9200019,3.402424707356466
Community area,Edison Park,9,6.406122008148277,12.132440388663511
