Report,Measure,State,Value,Score,Rank,LowerCI,UpperCI,Source,Data Year(s)
2025 Annual,Economic Hardship Index,AK,47,-0.26,18,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,AL,76,0.98,41,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,AR,83,1.27,44,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,AZ,67,0.59,36,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,CA,84,1.32,45,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,CO,11,-1.8,2,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,CT,33,-0.86,11,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,DE,58,0.21,32,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,FL,67,0.59,36,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,GA,56,0.12,30,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,HI,66,0.55,35,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,IA,45,-0.35,16,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,ID,54,0.04,28,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,IL,52,-0.05,27,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,IN,61,0.33,34,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,KS,51,-0.09,25,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,KY,85,1.36,46,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,LA,100,2,50,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MA,19,-1.46,4,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MD,32,-0.9,9,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,ME,28,-1.07,7,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MI,58,0.21,32,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MN,32,-0.9,9,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MO,51,-0.09,25,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MS,98,1.91,48,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,MT,36,-0.73,14,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NC,50,-0.13,23,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,ND,23,-1.29,5,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NE,49,-0.18,21,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NH,1,-2,1,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NJ,48,-0.22,19,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NM,98,1.91,48,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NV,79,1.1,42,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,NY,71,0.76,39,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,OH,54,0.04,28,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,OK,81,1.19,43,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,OR,50,-0.13,23,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,PA,48,-0.22,19,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,RI,49,-0.18,21,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,SC,67,0.59,36,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,SD,45,-0.35,16,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,TN,57,0.16,31,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,TX,75,0.93,40,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,UT,33,-0.86,11,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,VA,26,-1.16,6,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,VT,16,-1.59,3,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,WA,28,-1.07,7,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,WI,33,-0.86,11,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,WV,89,1.53,47,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
2025 Annual,Economic Hardship Index,WY,38,-0.65,15,NULL,NULL,"U.S. Census Bureau, American Community Survey, 1-Year Dataset",2024
