round_id,round_desc,model,use_popnorm,reweight_kind,clip_mode,threshold_from_chicago_val,chicago_val_roc_auc,chicago_val_pr_auc,nibrs_review_roc_auc,nibrs_review_pr_auc,nibrs_review_f1,nibrs_review_recall,nibrs_review_precision,nibrs_review_accuracy
R0,baseline_standardized,logistic_regression,False,none,none,0.38999999999999996,0.8386609283645083,0.5831517265418011,0.5226266309881834,0.2678395058448086,0.4007352941176471,0.9008264462809917,0.2576832151300236,0.30638297872340425
R1,population_norm_only,xgboost,True,none,none,0.25499999999999995,0.9600419027161129,0.9332339864303001,0.4278221127661086,0.27355493493140537,0.22988505747126436,0.1652892561983471,0.37735849056603776,0.7148936170212766
R2,population_norm_plus_reweight_logistic_clip_0.2_5,xgboost,True,logistic,fixed,0.57,0.9258707671827608,0.8792859409943343,0.41753297496980746,0.2379945520393888,0.12080536912751678,0.0743801652892562,0.32142857142857145,0.7212765957446808
R3,population_norm_plus_reweight_logistic_clip_0.1_10,xgboost,True,logistic,fixed,0.57,0.9140563190657358,0.8659659800324369,0.4166567998295011,0.22785229204242952,0.12162162162162163,0.0743801652892562,0.3333333333333333,0.723404255319149
R0,baseline_standardized,xgboost,False,none,none,0.57,0.9725922956486223,0.9450719070562396,0.3757725733500675,0.21978033095458635,0.2318840579710145,0.3305785123966942,0.17857142857142858,0.43617021276595747
R0,baseline_standardized,random_forest,False,none,none,0.5199999999999999,0.9642185597264978,0.9296866555510697,0.35849771484051246,0.19771214163704842,0.17252396166134185,0.2231404958677686,0.140625,0.44893617021276594
R4,population_norm_plus_reweight_xgboost_clip_p1p99,xgboost,True,xgboost,p1p99,0.3,0.8578696175053513,0.6657539412091145,0.3036302067299723,0.18309745993113763,0.028169014084507043,0.01652892561983471,0.09523809523809523,0.7063829787234043
R1,population_norm_only,random_forest,True,none,none,0.5499999999999999,0.9487992678370181,0.9121767036462963,0.2929503421819129,0.17969635542945284,0.0,0.0,0.0,0.7425531914893617
R4,population_norm_plus_reweight_xgboost_clip_p1p99,logistic_regression,True,xgboost,p1p99,0.195,0.5915937403090514,0.3061368664559179,0.24109024603945156,0.16981275066285767,0.40145985401459855,0.9090909090909091,0.2576112412177986,0.3021276595744681
R4,population_norm_plus_reweight_xgboost_clip_p1p99,random_forest,True,xgboost,p1p99,0.565,0.9397879147725984,0.9028948210827276,0.23327571100428618,0.16960466852624909,0.0,0.0,0.0,0.7297872340425532
R1,population_norm_only,logistic_regression,True,none,none,0.22499999999999998,0.6488007805704517,0.33781730996338843,0.22647943356461198,0.1656739337083355,0.39652173913043476,0.9421487603305785,0.2511013215859031,0.26170212765957446
R2,population_norm_plus_reweight_logistic_clip_0.2_5,random_forest,True,logistic,fixed,0.5599999999999999,0.9308748893813676,0.8939919769713095,0.22046460962845438,0.1641968890567819,0.0,0.0,0.0,0.725531914893617
R3,population_norm_plus_reweight_logistic_clip_0.1_10,random_forest,True,logistic,fixed,0.565,0.9267473962075772,0.8880561210424259,0.2118567808851737,0.16297924242556205,0.0,0.0,0.0,0.7276595744680852
R2,population_norm_plus_reweight_logistic_clip_0.2_5,logistic_regression,True,logistic,fixed,0.145,0.5768627421318951,0.3230851222402542,0.1549409173790523,0.15774440687415564,0.4,0.9008264462809917,0.25707547169811323,0.30425531914893617
R3,population_norm_plus_reweight_logistic_clip_0.1_10,logistic_regression,True,logistic,fixed,0.12499999999999999,0.5550188713495852,0.32895889342329776,0.1461554855667906,0.15665093175914363,0.4,0.9008264462809917,0.25707547169811323,0.30425531914893617
